date,pm25,pm10,o3,no2,so2,co
27/03/2022,17,66,41,8,1,2
28/03/2022,77,72,28,12,0,5
29/03/2022,122,35,24,9,0,4
30/03/2022,87,18,35,9,0,2
31/03/2022,44,29,37,11,0,1
01/10/2021,54,56,22,16,0,7
02/10/2021,99,52,23,12,0,7
03/10/2021,94,17,15,6,0,2
04/10/2021,17,12,11,8,0,2
05/10/2021,35,8,14,7,0,2
06/10/2021,37,18,21,11,0,3
07/10/2021,43,36,28,14,0,5
08/10/2021,72,26,22,13,1,5
09/10/2021,102,19,23,7,0,1
10/10/2021,31,27,24,17,0,3
11/10/2021,44,34,26,19,0,5
12/10/2021,52,48,33,24,1,5
13/10/2021,97,41,19,22,1,5
14/10/2021,85,24,23,13,1,2
15/10/2021,40,17,25,5,0,4
16/10/2021,25,40,17,17,0,3
17/10/2021,65,62,17,24,1,5
18/10/2021,114,14,23,8,0,1
19/10/2021,27,44,17,16,0,3
20/10/2021,78,35,23,13,0,4
21/10/2021,58,24,28,12,0,2
22/10/2021,41,54,22,21,1,4
23/10/2021,95,69,27,30,1,8
24/10/2021,157,89,28,34,1,9
25/10/2021,190,38,27,21,0,6
26/10/2021,107,22,25,12,0,2
27/10/2021,37,45,17,20,0,4
28/10/2021,76,71,14,26,2,8
29/10/2021,148,84,28,21,1,9
30/10/2021,179,45,25,4,0,3
31/10/2021,68,60,10,19,0,8
01/11/2021,140,65,11,24,0,6
02/11/2021,156,65,9,28,0,9
03/11/2021,175,84,12,26,0,9
04/11/2021,196,87,6,28,0,11
05/11/2021,203,67,20,16,0,11
06/11/2021,113,8,23,4,0,4
07/11/2021,15,15,26,4,0,3
08/11/2021,21,16,27,5,0,31
09/11/2021,22,16,26,6,1,2
10/11/2021,24,17,24,7,0,2
11/11/2021,23,38,18,20,0,4
12/11/2021,55,56,24,18,1,5
13/11/2021,74,56,17,19,0,3
14/11/2021,74,74,16,17,1,4
15/11/2021,100,69,12,21,0,8
16/11/2021,137,79,10,31,1,10
17/11/2021,169,79,6,36,0,13
18/11/2021,187,34,18,14,1,3
19/11/2021,43,55,7,21,0,5
20/11/2021,77,122,21,9,0,5
21/11/2021,92,33,20,4,0,1
22/11/2021,32,46,11,21,0,5
23/11/2021,66,67,7,26,1,7
24/11/2021,106,66,12,26,1,10
25/11/2021,112,48,19,19,0,4
26/11/2021,69,73,6,30,1,9
27/11/2021,153,86,4,34,2,12
28/11/2021,179,33,13,19,0,7
29/11/2021,125,20,21,5,0,1
30/11/2021,19,22,19,14,1,3
01/12/2021,36,37,25,13,0,2
02/12/2021,41,42,16,17,0,4
03/12/2021,56,52,9,30,0,7
04/12/2021,82,77,3,39,1,11
05/12/2021,152,40,24,16,0,4
06/12/2021,54,33,14,21,0,4
07/12/2021,49,57,4,28,1,6
08/12/2021,106,75,1,28,0,9
09/12/2021,175,50,12,22,0,7
10/12/2021,135,41,24,16,0,5
11/12/2021,79,16,22,5,0,1
12/12/2021,20,51,10,25,1,5
13/12/2021,90,68,6,31,1,9
14/12/2021,146,82,2,36,1,13
15/12/2021,164,47,24,11,0,7
16/12/2021,60,20,22,7,0,3
17/12/2021,28,46,24,17,1,3
18/12/2021,55,71,6,35,1,7
19/12/2021,116,81,16,34,1,10
20/12/2021,126,56,17,19,1,5
21/12/2021,81,47,12,17,1,6
22/12/2021,96,61,5,20,1,8
23/12/2021,126,27,22,7,1,4
